question_id,question,annotator1_answer,annotator2_answer,f1_score,jaccard_score,exact_match,token_overlap,bleu1,bleu2,bleu4,rouge1_fmeasure,rouge2_fmeasure,rougeL_fmeasure
0,Do dual-degree students have any special constraints on doing an overseas semester while completing both programs?,Dual-degree students need both programs' approvals if courses abroad must count for both.,Dual-degree students must get approval from both programs if they want study abroad credits to apply to both degrees.,0.5,0.3181818181818182,0,0.6153846153846154,0.42105263157894735,0.21629522817435004,0.03621439574176347,0.588235294117647,0.18749999999999997,0.47058823529411764
1,Are there official orientation sessions or pre-departure training that UMSI requires for outbound exchange students?,"UMSI and the Global Engagement Office hold mandatory pre-departure briefings on safety, culture, and academics.","UMSI and the Global Engagement Office require students to attend pre-departure sessions covering safety, academics, and cultural expectations.",0.606060606060606,0.4090909090909091,0,0.6666666666666666,0.5555555555555556,0.4042260417272216,0.30064545690526145,0.6857142857142857,0.3636363636363636,0.5714285714285714
2,What are some common pitfalls that can delay a student's graduation if they fail to plan carefully for abroad courses?,"Delay risks include courses not transferring properly or missing required BSI/MSI classes, so plan thoroughly.",Students risk graduation delays if they don’t plan ahead—especially if courses don’t transfer properly or required classes are missed.,0.35294117647058826,0.23076923076923078,0,0.4,0.3157894736842105,0.13245323570650439,0.028339296176052856,0.5263157894736842,0.1111111111111111,0.3684210526315789
3,How does the credit conversion process work if the host university uses a different credit or grading system?,"Conversions vary by country; U-M sets equivalencies. You often need at least a ""C"" or equivalent to earn transfer credit.","Credit conversions depend on the host country; U-M determines equivalents, and a grade of C or higher is typically required.",0.35,0.21212121212121213,0,0.35,0.3499999999999999,0.1919429739874786,0.03312498979466406,0.42857142857142855,0.15,0.38095238095238093
4,Can students do a second study abroad or short-term exchange after returning from a prior international program?,"Yes, if scheduling and credits allow. Some do a full semester exchange first, then a separate short immersion later.","Students can study abroad more than once, provided their schedule and credit plan allow it.",0.11764705882352941,0.06451612903225806,0,0.10526315789473684,0.10212377844861985,0.02363706168811279,0.012039533619616523,0.23529411764705882,0.125,0.23529411764705882
5,"Which academic or cultural celebrations does UMSI host annually, such as Lunar New Year or Diwali events?","UMSI hosts a Lunar New Year celebration, among others, often supported by student orgs and OCC.",UMSI celebrates events like Lunar New Year with support from student organizations and the Office of Culture and Community.,0.34285714285714286,0.21428571428571427,0,0.375,0.3157894736842105,0.1873171623163388,0.05993031480537873,0.45714285714285713,0.1212121212121212,0.39999999999999997
6,Are there any living-learning communities affiliated with the School of Information for undergraduates?,"There's no dedicated living-learning dorm for BSI, but some undergrads join communities like the Michigan Learning Communities.","While UMSI doesn’t offer its own living-learning dorms, BSI students sometimes join university-wide communities like MLCs.",0.30303030303030304,0.18518518518518517,0,0.29411764705882354,0.29356658212921116,0.1355925961739028,0.030727585695489428,0.3684210526315789,0.16666666666666666,0.3684210526315789
7,Does UMSI provide secure lockers or equipment checkouts for students who need specialized gear?,Equipment checkout or lockers vary by building; some labs have specific gear for class projects.,Locker and equipment access varies by location; some labs lend gear needed for specific projects.,0.5333333333333333,0.36363636363636365,0,0.5333333333333333,0.5333333333333333,0.1951800145897066,0.039530883746698414,0.6666666666666666,0.14285714285714285,0.5333333333333333
8,Are there designated quiet study areas for students who prefer minimal noise while working on assignments?,Certain floors or corners in North Quad are designated quiet zones; check posted signage.,Quiet study areas are available in North Quad—look for posted signs in low-noise zones.,0.42857142857142855,0.2857142857142857,0,0.42857142857142855,0.42857142857142855,0.1815682598006407,0.03975360176263952,0.4666666666666667,0.14285714285714288,0.26666666666666666
9,Does the university's central campus have easily accessible counseling and mental health services for grad students?,CAPS is at multiple campus locations. Graduate students can also use Wolverine Wellness or UHS mental health services.,"Graduate students have access to mental health care through CAPS, UHS, and Wolverine Wellness.",0.5,0.3333333333333333,0,0.4444444444444444,0.4294155960430205,0.27288884876675146,0.04224811561338991,0.5,0.20000000000000004,0.25
10,How do BSI students stay connected to each other if they're often spread among different campus buildings?,"BSI students keep in touch via Slack channels, group assignments, and events at North Quad or 777 N. University.","BSI students stay connected through Slack, collaborative coursework, and gatherings at North Quad or 777 N. University.",0.6111111111111113,0.44,0,0.5789473684210527,0.5752416129076784,0.4730068630175192,0.36023811550441615,0.6111111111111113,0.411764705882353,0.6111111111111113
11,Which local or campus-wide resources are recommended for stress management or personal well-being?,"The university offers workshops on mindfulness and time management, plus a well-being app for students.","Mindfulness workshops, time management sessions, and wellness apps help support student well-being.",0.4444444444444445,0.2857142857142857,0,0.4,0.38940039153570244,0.16604088484913387,0.03691986309824732,0.6206896551724138,0.14814814814814814,0.41379310344827586
